,right_borders,probs
0,0.0002,1.5230803e-05
1,0.0004,1.1423816e-05
2,0.00059999997,1.257441e-05
3,0.0008,1.5897704e-05
4,0.0009999999,2.723461e-05
5,0.0011999999,7.434995e-05
6,0.0014,0.00022498638
7,0.0016,0.0005271642
8,0.0018,0.0007840204
9,0.0019999999,0.00090252265
10,0.0022,0.00098719
11,0.0023999999,0.0010805762
12,0.0026,0.0012148578
13,0.0028,0.0013647054
14,0.003,0.0014254317
15,0.0032,0.0014339603
16,0.0033999998,0.001458227
17,0.0036,0.0014421584
18,0.0037999998,0.0014165291
19,0.0039999997,0.001388308
20,0.0042,0.0013749906
21,0.0044,0.001185085
22,0.0046,0.0010662171
23,0.0047999998,0.0010404473
24,0.005,0.0011446064
25,0.0052,0.001254583
26,0.0053999997,0.001287506
27,0.0056,0.0012273107
28,0.0058,0.0012278545
29,0.006,0.001233544
30,0.0061999997,0.0012477678
31,0.0064,0.0013085597
32,0.0066,0.0014032112
33,0.0067999996,0.0014648649
34,0.0069999998,0.001494592
35,0.0072,0.0015386571
36,0.0074,0.0015636018
37,0.0075999997,0.0015839849
38,0.0078,0.0015796297
39,0.007999999,0.001586376
40,0.0082,0.0015898099
41,0.0084,0.0015746056
42,0.008599999,0.0015716485
43,0.0088,0.0016229101
44,0.009,0.0016863451
45,0.0092,0.0015985557
46,0.0094,0.001520254
47,0.0095999995,0.0014638078
48,0.0098,0.0014074083
49,0.01,0.0013418464
50,0.010199999,2.3492516e-06
51,0.0104,2.4123221e-06
52,0.0106,2.4213205e-06
53,0.010799999,2.4274082e-06
54,0.011,2.430978e-06
55,0.0112,2.43275e-06
56,0.011399999,2.4336966e-06
57,0.0116,2.4343651e-06
58,0.0117999995,2.434616e-06
59,0.012,2.4347016e-06
60,0.0122,2.434651e-06
61,0.012399999,2.434277e-06
62,0.0126,2.4334065e-06
63,0.0128,2.4312517e-06
64,0.012999999,2.4762357e-06
65,0.0132,2.4172136e-06
66,0.0134,2.411131e-06
67,0.013599999,2.4071012e-06
68,0.0138,2.4028534e-06
69,0.0139999995,2.3978355e-06
70,0.0142,2.4421154e-06
71,0.0144,2.3842633e-06
72,0.014599999,2.3696987e-06
73,0.0148,2.3647299e-06
74,0.015,2.3595599e-06
75,0.015199999,2.4163608e-06
76,0.0154,2.3385892e-06
77,0.0156,2.3300317e-06
78,0.0158,2.3695927e-06
79,0.015999999,2.326772e-06
80,0.0162,2.2961642e-06
81,0.0164,2.2893119e-06
82,0.0166,2.3457187e-06
83,0.0168,2.2718775e-06
84,0.016999999,2.2542836e-06
85,0.017199999,2.3094883e-06
86,0.0174,2.241477e-06
87,0.0176,2.2239021e-06
88,0.0178,2.2837862e-06
89,0.018,2.2119705e-06
90,0.018199999,2.196503e-06
91,0.0184,2.270197e-06
92,0.0186,2.1753835e-06
93,0.0188,2.2242564e-06
94,0.019,2.1796095e-06
95,0.019199999,2.144398e-06
96,0.019399999,2.220088e-06
97,0.0196,2.1324472e-06
98,0.0198,2.1784913e-06
99,0.02,2.191352e-06
100,0.0202,3.060728e-05
101,0.020399999,0.0013764682
102,0.0206,0.002445692
103,0.0208,0.0028626663
104,0.021,0.0031509383
105,0.0212,2.7547903e-06
106,0.021399999,2.8564757e-06
107,0.021599999,3.0471558e-06
108,0.0218,3.0679666e-06
109,0.022,3.2108992e-06
110,0.0222,3.2527785e-06
111,0.0224,3.377951e-06
112,0.022599999,3.4316824e-06
113,0.022799999,3.5188366e-06
114,0.023,3.5638964e-06
115,0.0232,3.6303393e-06
116,0.0234,3.6586168e-06
117,0.023599999,3.7030395e-06
118,0.023799999,3.7051343e-06
119,0.024,3.7511907e-06
120,0.0242,3.7081954e-06
121,0.0244,3.7653947e-06
122,0.0246,3.6707024e-06
123,0.024799999,3.7640089e-06
